Source Name	Comment[ENA_SAMPLE]	Material Type	Provider	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[InitialTimePoint]	Characteristics[genotype]	Characteristics[sex]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[strain]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism]	Factor Value[immunoprecipitate]
CRI3	ERS517741	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI3	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-11#1	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3304	sequencing assay	ERX530904	do3304_H3K4me3_liver_millipore_05-1339_hg19Homo_sapiensCRI3_CRI01.fq.gz	do3304_H3K4me3_liver_millipore_05-1339_hg19Homo_sapiensCRI3_CRI01.fq.gz	ERR572159	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572159/ERR572159.fastq.gz	P-MTAB-39594	P-MTAB-39595	hsa-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Homo sapiens	H3K4me3
CRI6	ERS517758	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI6	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-11#2	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3305	sequencing assay	ERX530993	do3305_H3K4me3_liver_millipore_05-1339_hg19Homo_sapiensCRI6_CRI01.fq.gz	do3305_H3K4me3_liver_millipore_05-1339_hg19Homo_sapiensCRI6_CRI01.fq.gz	ERR572248	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572248/ERR572248.fastq.gz	P-MTAB-39594	P-MTAB-39595	hsa-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Homo sapiens	H3K4me3
CRI7	ERS517757	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI7	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-11#3	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3306	sequencing assay	ERX530921	do3306_H3K4me3_liver_millipore_05-1339_hg19Homo_sapiensCRI7_CRI01.fq.gz	do3306_H3K4me3_liver_millipore_05-1339_hg19Homo_sapiensCRI7_CRI01.fq.gz	ERR572284	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572284/ERR572284.fastq.gz	P-MTAB-39594	P-MTAB-39595	hsa-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Homo sapiens	H3K4me3
CRI8	ERS517780	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI8	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-11#4	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3307	sequencing assay	ERX531021	do3307_H3K4me3_liver_millipore_05-1339_hg19Homo_sapiensCRI8_CRI01.fq.gz	do3307_H3K4me3_liver_millipore_05-1339_hg19Homo_sapiensCRI8_CRI01.fq.gz	ERR572270	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572270/ERR572270.fastq.gz	P-MTAB-39594	P-MTAB-39595	hsa-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Homo sapiens	H3K4me3
CRI3	ERS517741	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI3	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-11#5	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3308	sequencing assay	ERX531045	do3308_H3K27Ac__liver_ab4729_hg19Homo_sapiensCRI3_CRI01.fq.gz	do3308_H3K27Ac__liver_ab4729_hg19Homo_sapiensCRI3_CRI01.fq.gz	ERR572148	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572148/ERR572148.fastq.gz	P-MTAB-39594	P-MTAB-39595	hsa-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Homo sapiens	H3K27Ac 
CRI6	ERS517758	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI6	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-11#6	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3309	sequencing assay	ERX530922	do3309_H3K27Ac__liver_ab4729_hg19Homo_sapiensCRI6_CRI01.fq.gz	do3309_H3K27Ac__liver_ab4729_hg19Homo_sapiensCRI6_CRI01.fq.gz	ERR572241	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572241/ERR572241.fastq.gz	P-MTAB-39594	P-MTAB-39595	hsa-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Homo sapiens	H3K27Ac 
CRI7	ERS517757	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI7	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-11#7	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3310	sequencing assay	ERX531004	do3310_H3K27Ac__liver_ab4729_hg19Homo_sapiensCRI7_CRI01.fq.gz	do3310_H3K27Ac__liver_ab4729_hg19Homo_sapiensCRI7_CRI01.fq.gz	ERR572285	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572285/ERR572285.fastq.gz	P-MTAB-39594	P-MTAB-39595	hsa-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Homo sapiens	H3K27Ac 
CRI8	ERS517780	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI8	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-11#8	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3311	sequencing assay	ERX530973	do3311_H3K27Ac__liver_ab4729_hg19Homo_sapiensCRI8_CRI01.fq.gz	do3311_H3K27Ac__liver_ab4729_hg19Homo_sapiensCRI8_CRI01.fq.gz	ERR572151	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572151/ERR572151.fastq.gz	P-MTAB-39594	P-MTAB-39595	hsa-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Homo sapiens	H3K27Ac 
CRI3	ERS517741	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI3	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-10#9	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3429	sequencing assay	ERX530946	do3429_input_liver_unk_hg19Homo_sapiensCRI3_CRI01.fq.gz	do3429_input_liver_unk_hg19Homo_sapiensCRI3_CRI01.fq.gz	ERR572219	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572219/ERR572219.fastq.gz	P-MTAB-39594	  	  	  	Homo sapiens	input
CRI6	ERS517758	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI6	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-10#10	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3430	sequencing assay	ERX531017	do3430_input_liver_unk_hg19Homo_sapiensCRI6_CRI01.fq.gz	do3430_input_liver_unk_hg19Homo_sapiensCRI6_CRI01.fq.gz	ERR572295	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572295/ERR572295.fastq.gz	P-MTAB-39594	  	  	  	Homo sapiens	input
